,is_not_hispanic,derived_race,is_male,action_taken,preapproval_requested,loan_type,loan_purpose,loan_amount,loan_to_value_ratio,interest_only_payment,balloon_payment,income,debt_to_income_ratio,applicant_age,log_loan_to_value_ratio,mid_debt_to_income_ratio,debt
460,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,375000.0,88.392,2,2,133.0,30%-<36%,35-44,6.465843897958807,0.33,43.89
461,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,255000.0,86.207,2,2,79.0,36%-<50%,45-54,6.429733115654887,0.38,30.02
462,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Purchase,295000.0,85.0,2,2,104.0,20%-<30%,45-54,6.409390936137702,0.25,26.0
463,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,465000.0,58.974,2,2,50.0,>60%,65-74,5.882007145320775,0.65,32.5
464,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,385000.0,59.329,2,2,125.0,30%-<36%,35-44,5.890665561029287,0.33,41.25
465,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,565000.0,70.964,2,2,259.0,20%-<30%,35-44,6.149015426644728,0.25,64.75
466,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Refinancing,195000.0,95.0,2,2,52.0,36%-<50%,25-34,6.569855608330948,0.38,19.76
467,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,165000.0,54.576,2,2,42.0,30%-<36%,65-74,5.770194754951317,0.33,13.860000000000001
468,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Refinancing,175000.0,25.0,2,2,24.0,>60%,65-74,4.643856189774724,0.65,15.600000000000001
469,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,425000.0,42.503,2,2,67.0,>60%,55-64,5.409492769840617,0.65,43.550000000000004
470,Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,575000.0,79.31,2,2,148.0,36%-<50%,55-64,6.309430878103395,0.38,56.24
471,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,155000.0,39.474,2,2,67.0,20%-<30%,55-64,5.302830813453819,0.25,16.75
472,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,275000.0,60.0,2,2,73.0,36%-<50%,45-54,5.906890595608519,0.38,27.740000000000002
473,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Purchase,895000.0,90.0,2,2,137.0,50%-60%,45-54,6.491853096329675,0.55,75.35000000000001
474,Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,275000.0,93.0,2,2,73.0,50%-60%,55-64,6.539158811108031,0.55,40.150000000000006
475,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Other Purpose,35000.0,8.75,2,2,88.0,30%-<36%,45-54,3.1292830169449664,0.33,29.040000000000003
476,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,305000.0,85.714,2,2,102.0,30%-<36%,35-44,6.421458959446793,0.33,33.660000000000004
477,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,425000.0,74.341,2,2,119.0,50%-60%,55-64,6.2160861896694595,0.55,65.45
478,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Refinancing,235000.0,66.667,2,2,92.0,36%-<50%,45-54,6.058900902510739,0.38,34.96
479,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,295000.0,92.835,2,2,146.0,30%-<36%,45-54,6.536596917554072,0.33,48.18
480,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Refinancing,275000.0,45.658,2,2,114.0,30%-<36%,65-74,5.512795760116281,0.33,37.620000000000005
481,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,205000.0,75.0,2,2,123.0,<20%,25-34,6.22881869049588,0.15,18.45
482,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Refinancing,375000.0,80.435,2,2,60.0,36%-<50%,45-54,6.3297514985171786,0.38,22.8
483,Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,305000.0,47.695,2,2,84.0,>60%,25-34,5.575766127296438,0.65,54.6
484,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Refinancing,485000.0,86.997,2,2,92.0,>60%,45-54,6.442893746886124,0.65,59.800000000000004
485,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,375000.0,74.2,2,2,76.0,>60%,25-34,6.213347281733441,0.65,49.4
486,Not Hispanic or Latino,White,Female,0,No Preapproval Requested,Converntional,Refinancing,875000.0,79.636,2,2,188.0,30%-<36%,55-64,6.3153488533002475,0.33,62.040000000000006
487,Hispanic or Latino,Minority Races,Female,0,No Preapproval Requested,Converntional,Refinancing,275000.0,94.752,2,2,65.0,>60%,35-44,6.5660844905154665,0.65,42.25
488,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Other Purpose,195000.0,48.75,2,2,113.0,<20%,45-54,5.60733031374961,0.15,16.95
489,Not Hispanic or Latino,White,Male,0,No Preapproval Requested,Converntional,Refinancing,625000.0,49.92,2,2,91.0,>60%,55-64,5.6415460290875235,0.65,59.15
490,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Refinancing,375000.0,90.0,2,2,170.0,20%-<30%,55-64,6.491853096329675,0.25,42.5
491,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,195000.0,60.532,2,2,44.0,>60%,25-34,5.9196261139086115,0.65,28.6
492,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,505000.0,78.154,2,2,325.0,<20%,35-44,6.288247808579146,0.15,48.75
493,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Refinancing,225000.0,46.778,2,2,148.0,<20%,45-54,5.547758275265956,0.15,22.2
494,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Refinancing,155000.0,51.525,2,2,132.0,20%-<30%,35-44,5.687200694651894,0.25,33.0
495,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,405000.0,47.059,2,2,65.0,>60%,>74,5.556398758620644,0.65,42.25
496,Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Refinancing,355000.0,44.783,2,2,169.0,<20%,55-64,5.484879272031666,0.15,25.349999999999998
497,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,235000.0,59.25,2,2,89.0,20%-<30%,35-44,5.888743248898259,0.25,22.25
498,Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,565000.0,69.821,2,2,92.0,36%-<50%,45-54,6.125589114692802,0.38,34.96
499,Not Hispanic or Latino,White,Male,0,No Preapproval Requested,Converntional,Refinancing,425000.0,76.545,2,2,80.0,>60%,65-74,6.258236237330973,0.65,52.0
500,Not Hispanic or Latino,Asian,Male,1,No Preapproval Requested,VA-guaranteed,Home Purchase,345000.0,95.0,2,2,81.0,50%-60%,35-44,6.569855608330948,0.55,44.550000000000004
501,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,375000.0,76.551,2,2,134.0,<20%,45-54,6.258349318930097,0.15,20.099999999999998
502,Hispanic or Latino,Minority Races,Female,0,No Preapproval Requested,Converntional,Refinancing,265000.0,90.0,2,2,65.0,>60%,35-44,6.491853096329675,0.65,42.25
503,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Refinancing,255000.0,82.059,2,2,75.0,50%-60%,55-64,6.358589668032855,0.55,41.25
504,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,315000.0,79.25,2,2,80.0,>60%,35-44,6.3083390301394076,0.65,52.0
505,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Refinancing,555000.0,87.44,2,2,120.0,36%-<50%,35-44,6.45022149589718,0.38,45.6
506,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Refinancing,265000.0,35.867,2,2,103.0,30%-<36%,45-54,5.164585174832278,0.33,33.99
507,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,385000.0,80.0,2,2,99.0,36%-<50%,25-34,6.321928094887363,0.38,37.62
508,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,415000.0,63.654,2,2,174.0,36%-<50%,35-44,5.992179270425506,0.38,66.12
509,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Other Purpose,305000.0,40.0,2,2,149.0,20%-<30%,45-54,5.321928094887363,0.25,37.25
510,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Refinancing,405000.0,54.054,2,2,91.0,30%-<36%,55-64,5.756329476337375,0.33,30.03
511,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Home Purchase,245000.0,71.0,2,2,45.0,>60%,25-34,6.149747119504682,0.65,29.25
512,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,295000.0,89.458,2,2,98.0,36%-<50%,>74,6.483138599459075,0.38,37.24
513,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,285000.0,72.006,2,2,99.0,20%-<30%,35-44,6.170045221019974,0.25,24.75
514,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Refinancing,765000.0,86.364,2,2,152.0,36%-<50%,35-44,6.43235815907366,0.38,57.76
515,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,655000.0,56.522,2,2,261.0,36%-<50%,45-54,5.8207406104359345,0.38,99.18
516,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,65000.0,25.198,2,2,10.0,>60%,>74,4.6552373244622585,0.65,6.5
517,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,525000.0,75.0,2,2,147.0,36%-<50%,35-44,6.22881869049588,0.38,55.86
518,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Refinancing,165000.0,32.2,2,2,31.0,50%-60%,45-54,5.008988783227255,0.55,17.05
519,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,85000.0,17.778,2,2,43.0,50%-60%,35-44,4.152021127020351,0.55,23.650000000000002
520,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,65000.0,16.26,2,2,174.0,<20%,45-54,4.023255352300303,0.15,26.099999999999998
521,Hispanic or Latino,White,Male,0,No Preapproval Requested,Converntional,Home Purchase,475000.0,80.342,2,2,102.0,50%-60%,45-54,6.328082470562099,0.55,56.1
522,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Refinancing,185000.0,34.588,2,2,90.0,20%-<30%,55-64,5.112199689300664,0.25,22.5
523,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,85000.0,16.0,2,2,79.0,36%-<50%,25-34,4.0,0.38,30.02
524,Not Hispanic or Latino,Asian,Male,1,No Preapproval Requested,Converntional,Home Purchase,335000.0,80.0,2,2,160.0,20%-<30%,25-34,6.321928094887363,0.25,40.0
525,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,535000.0,88.0,2,2,140.0,20%-<30%,45-54,6.459431618637297,0.25,35.0
526,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,235000.0,45.0,2,2,149.0,36%-<50%,45-54,5.491853096329675,0.38,56.62
527,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,445000.0,85.0,2,2,245.0,20%-<30%,25-34,6.409390936137702,0.25,61.25
528,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,555000.0,52.571,2,2,140.0,30%-<36%,45-54,5.716195272850593,0.33,46.2
529,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,325000.0,95.0,2,2,100.0,20%-<30%,25-34,6.569855608330948,0.25,25.0
530,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Home Purchase,565000.0,95.0,2,2,85.0,30%-<36%,35-44,6.569855608330948,0.33,28.05
531,Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,195000.0,90.0,2,2,59.0,36%-<50%,25-34,6.491853096329675,0.38,22.42
532,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,435000.0,87.817,2,2,93.0,36%-<50%,25-34,6.456428344917181,0.38,35.34
533,Not Hispanic or Latino,Asian,Male,1,No Preapproval Requested,Converntional,Home Purchase,415000.0,75.0,2,2,67.0,36%-<50%,25-34,6.22881869049588,0.38,25.46
534,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,525000.0,77.645,2,2,190.0,<20%,25-34,6.278821119210722,0.15,28.5
535,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,255000.0,70.0,2,2,67.0,36%-<50%,25-34,6.129283016944966,0.38,25.46
536,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,765000.0,80.0,2,2,153.0,30%-<36%,55-64,6.321928094887363,0.33,50.49
537,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,1685000.0,80.0,2,2,345.0,36%-<50%,35-44,6.321928094887363,0.38,131.1
538,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,715000.0,95.0,2,2,418.0,20%-<30%,35-44,6.569855608330948,0.25,104.5
539,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,505000.0,80.0,2,2,238.0,30%-<36%,35-44,6.321928094887363,0.33,78.54
540,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,505000.0,23.628,2,2,299.0,30%-<36%,55-64,4.562425611960623,0.33,98.67
541,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,375000.0,80.0,2,2,150.0,36%-<50%,25-34,6.321928094887363,0.38,57.0
542,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,525000.0,90.0,2,2,95.0,36%-<50%,35-44,6.491853096329675,0.38,36.1
543,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,805000.0,80.0,2,2,240.0,20%-<30%,35-44,6.321928094887363,0.25,60.0
544,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,645000.0,80.0,2,2,173.0,20%-<30%,25-34,6.321928094887363,0.25,43.25
545,Not Hispanic or Latino,Asian,Male,1,No Preapproval Requested,Converntional,Refinancing,765000.0,75.665,2,2,315.0,20%-<30%,35-44,6.241554208795974,0.25,78.75
546,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,475000.0,75.0,2,2,90.0,36%-<50%,35-44,6.22881869049588,0.38,34.2
547,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,395000.0,85.0,2,2,154.0,20%-<30%,45-54,6.409390936137702,0.25,38.5
548,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,345000.0,80.0,2,2,134.0,20%-<30%,25-34,6.321928094887363,0.25,33.5
549,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,505000.0,75.558,1,2,1038.0,<20%,55-64,6.239512609368155,0.15,155.7
550,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,2325000.0,75.0,2,2,772.0,20%-<30%,45-54,6.22881869049588,0.25,193.0
551,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,1085000.0,80.0,2,2,334.0,36%-<50%,55-64,6.321928094887363,0.38,126.92
552,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,625000.0,80.0,2,2,202.0,20%-<30%,25-34,6.321928094887363,0.25,50.5
553,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,Converntional,Home Purchase,305000.0,57.692,2,2,59.0,36%-<50%,25-34,5.850299372848081,0.38,22.42
554,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,335000.0,97.0,2,2,113.0,36%-<50%,35-44,6.599912842187128,0.38,42.94
555,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,275000.0,101.27,2,2,65.0,36%-<50%,25-34,6.662063046428036,0.38,24.7
556,Not Hispanic or Latino,Asian,Male,1,No Preapproval Requested,Converntional,Home Purchase,315000.0,92.206,2,2,82.0,36%-<50%,25-34,6.52678872719711,0.38,31.16
557,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,485000.0,90.0,2,2,116.0,30%-<36%,25-34,6.491853096329675,0.33,38.28
558,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,665000.0,80.0,2,2,200.0,20%-<30%,25-34,6.321928094887363,0.25,50.0
559,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,475000.0,60.0,2,2,118.0,30%-<36%,35-44,5.906890595608519,0.33,38.940000000000005
560,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,345000.0,75.0,2,2,260.0,<20%,35-44,6.22881869049588,0.15,39.0
561,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,295000.0,75.0,2,2,150.0,20%-<30%,55-64,6.22881869049588,0.25,37.5
562,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,1005000.0,80.0,2,2,222.0,36%-<50%,45-54,6.321928094887363,0.38,84.36
563,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,565000.0,73.848,2,2,182.0,20%-<30%,35-44,6.206486944392614,0.25,45.5
564,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,Converntional,Home Purchase,775000.0,74.614,2,2,166.0,36%-<50%,45-54,6.221374447024446,0.38,63.08
565,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,545000.0,90.0,2,2,100.0,36%-<50%,35-44,6.491853096329675,0.38,38.0
566,Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,405000.0,97.0,2,2,127.0,20%-<30%,25-34,6.599912842187128,0.25,31.75
567,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,465000.0,95.0,2,2,161.0,<20%,25-34,6.569855608330948,0.15,24.15
568,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,425000.0,90.0,2,2,87.0,36%-<50%,25-34,6.491853096329675,0.38,33.06
569,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Home Purchase,225000.0,97.0,2,2,60.0,36%-<50%,25-34,6.599912842187128,0.38,22.8
570,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,295000.0,31.351,2,2,70.0,<20%,25-34,4.970439556161308,0.15,10.5
571,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,725000.0,93.745,2,2,220.0,36%-<50%,35-44,6.550669839595823,0.38,83.6
572,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,Converntional,Home Purchase,375000.0,45.46,2,2,136.0,20%-<30%,45-54,5.506525779043123,0.25,34.0
573,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,515000.0,90.0,2,2,155.0,20%-<30%,35-44,6.491853096329675,0.25,38.75
574,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,275000.0,76.216,2,2,75.0,36%-<50%,35-44,6.252021988899512,0.38,28.5
575,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,485000.0,61.4,2,2,299.0,36%-<50%,65-74,5.940166750482817,0.38,113.62
576,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,145000.0,23.581,2,2,99.0,20%-<30%,65-74,4.559552994903522,0.25,24.75
577,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,Converntional,Home Purchase,365000.0,90.0,2,2,97.0,36%-<50%,35-44,6.491853096329675,0.38,36.86
578,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Home Purchase,575000.0,100.0,2,2,154.0,36%-<50%,35-44,6.643856189774724,0.38,58.52
579,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Home Purchase,145000.0,100.0,2,1,154.0,36%-<50%,35-44,6.643856189774724,0.38,58.52
580,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,565000.0,85.0,2,2,107.0,36%-<50%,25-34,6.409390936137702,0.38,40.660000000000004
581,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,1725000.0,80.0,1,2,325.0,>60%,55-64,6.321928094887363,0.65,211.25
582,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Purchase,585000.0,80.0,2,2,156.0,20%-<30%,25-34,6.321928094887363,0.25,39.0
583,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,445000.0,75.0,2,2,122.0,20%-<30%,25-34,6.22881869049588,0.25,30.5
584,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,645000.0,45.584,1,2,232.0,30%-<36%,65-74,5.510455621661764,0.33,76.56
585,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,505000.0,80.0,2,2,112.0,30%-<36%,25-34,6.321928094887363,0.33,36.96
586,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,445000.0,89.638,2,2,79.0,36%-<50%,35-44,6.4860385547322,0.38,30.02
587,Not Hispanic or Latino,Minority Races,Male,1,No Preapproval Requested,Converntional,Home Purchase,325000.0,80.0,2,2,192.0,36%-<50%,55-64,6.321928094887363,0.38,72.96000000000001
588,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,595000.0,80.0,2,2,98.0,36%-<50%,25-34,6.321928094887363,0.38,37.24
589,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,FHA-insured,Home Purchase,85000.0,102.446,2,2,12.0,>60%,35-44,6.678719845253001,0.65,7.800000000000001
590,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,395000.0,48.75,2,2,83.0,36%-<50%,25-34,5.60733031374961,0.38,31.54
591,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,355000.0,95.0,2,2,158.0,<20%,25-34,6.569855608330948,0.15,23.7
592,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Purchase,185000.0,100.822,2,2,73.0,36%-<50%,25-34,6.655666668173966,0.38,27.740000000000002
593,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,505000.0,24.39,2,2,158.0,36%-<50%,55-64,4.6082178530214595,0.38,60.04
594,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,495000.0,85.0,2,2,129.0,36%-<50%,45-54,6.409390936137702,0.38,49.02
595,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,345000.0,95.0,2,2,263.0,30%-<36%,35-44,6.569855608330948,0.33,86.79
596,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,315000.0,75.0,2,2,92.0,20%-<30%,35-44,6.22881869049588,0.25,23.0
597,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,335000.0,90.0,2,2,85.0,30%-<36%,25-34,6.491853096329675,0.33,28.05
598,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,615000.0,90.0,2,2,180.0,36%-<50%,45-54,6.491853096329675,0.38,68.4
599,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,245000.0,80.5,2,2,115.0,<20%,25-34,6.330916878114617,0.15,17.25
600,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,1395000.0,65.0,2,2,466.0,36%-<50%,45-54,6.022367813028454,0.38,177.08
601,Not Hispanic or Latino,Asian,Male,1,No Preapproval Requested,Converntional,Home Purchase,335000.0,60.0,2,2,71.0,36%-<50%,45-54,5.906890595608519,0.38,26.98
602,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,455000.0,91.401,2,2,95.0,36%-<50%,25-34,6.514138044493998,0.38,36.1
603,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Purchase,245000.0,97.0,2,2,71.0,36%-<50%,25-34,6.599912842187128,0.38,26.98
604,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,405000.0,80.0,2,2,220.0,20%-<30%,25-34,6.321928094887363,0.25,55.0
605,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,365000.0,97.0,2,2,81.0,36%-<50%,25-34,6.599912842187128,0.38,30.78
606,Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Purchase,335000.0,85.0,2,2,118.0,36%-<50%,35-44,6.409390936137702,0.38,44.84
607,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Refinancing,425000.0,56.84,2,2,65.0,36%-<50%,45-54,5.828834649468056,0.38,24.7
608,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,415000.0,97.0,2,2,110.0,30%-<36%,25-34,6.599912842187128,0.33,36.300000000000004
609,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Purchase,525000.0,80.0,2,2,78.0,36%-<50%,45-54,6.321928094887363,0.38,29.64
610,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,755000.0,75.0,2,2,648.0,30%-<36%,55-64,6.22881869049588,0.33,213.84
611,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,415000.0,97.0,2,2,147.0,30%-<36%,35-44,6.599912842187128,0.33,48.510000000000005
612,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,265000.0,81.869,2,2,182.0,<20%,35-44,6.355245368334022,0.15,27.3
613,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,505000.0,66.667,2,2,183.0,20%-<30%,45-54,6.058900902510739,0.25,45.75
614,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,795000.0,75.0,2,2,126.0,36%-<50%,25-34,6.22881869049588,0.38,47.88
615,Not Hispanic or Latino,Minority Races,Male,1,No Preapproval Requested,Converntional,Home Purchase,925000.0,75.0,2,2,268.0,36%-<50%,35-44,6.22881869049588,0.38,101.84
616,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Purchase,355000.0,75.0,2,2,93.0,30%-<36%,45-54,6.22881869049588,0.33,30.69
