,derived_ethnicity,derived_race,derived_sex,action_taken,preapproval,loan_type,loan_purpose,loan_amount,loan_to_value_ratio,interest_only_payment,balloon_payment,income,debt_to_income_ratio,applicant_age
4650,Not Hispanic or Latino,White,Male,1,2,1,1,1365000.0,89.99,2,2,700.0,42,45-54
4651,Not Hispanic or Latino,Asian,Female,1,1,1,1,75000.0,69.93,2,2,41.0,40,25-34
4652,Not Hispanic or Latino,Black or African American,Male,3,2,1,1,125000.0,89.0,2,2,69.0,30%-<36%,25-34
4653,Not Hispanic or Latino,Race Not Available,Male,1,2,1,32,845000.0,69.98,2,2,196.0,39,45-54
4654,Not Hispanic or Latino,White,Female,1,1,1,1,545000.0,85.0,2,2,247.0,30%-<36%,35-44
4655,Hispanic or Latino,Race Not Available,Male,1,1,1,1,915000.0,50.48,2,2,636.0,30%-<36%,45-54
4656,Not Hispanic or Latino,White,Male,3,2,1,31,745000.0,99.73,2,2,255.0,40,25-34
4657,Not Hispanic or Latino,White,Male,1,2,1,31,355000.0,50.28,2,2,161.0,30%-<36%,35-44
4658,Not Hispanic or Latino,White,Female,1,2,1,32,1035000.0,70.0,2,2,273.0,41,55-64
4659,Not Hispanic or Latino,Asian,Male,1,1,1,1,675000.0,95.0,2,2,200.0,20%-<30%,25-34
4660,Not Hispanic or Latino,White,Male,1,2,1,31,2805000.0,74.97,1,2,1945.0,<20%,45-54
4661,Not Hispanic or Latino,Asian,Male,1,1,1,1,775000.0,71.96,2,2,200.0,30%-<36%,25-34
4662,Not Hispanic or Latino,White,Male,1,1,1,1,415000.0,86.43,2,2,623.0,42,55-64
4663,Not Hispanic or Latino,White,Female,1,2,1,1,215000.0,100.7,2,2,67.0,<20%,35-44
4664,Not Hispanic or Latino,White,Male,1,2,1,4,305000.0,85.0,2,2,340.0,30%-<36%,25-34
4665,Ethnicity Not Available,Race Not Available,Male,1,1,1,1,865000.0,85.0,2,2,152.0,38,25-34
4666,Not Hispanic or Latino,Black or African American,Male,3,2,1,1,615000.0,123.44,2,2,37.0,20%-<30%,45-54
4667,Not Hispanic or Latino,Black or African American,Female,1,2,1,1,365000.0,100.0,2,2,86.0,30%-<36%,25-34
4668,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,715000.0,44.44,2,2,93.0,>60%,65-74
4669,Hispanic or Latino,Race Not Available,Male,1,2,1,31,755000.0,64.14,2,2,371.0,42,45-54
4670,Not Hispanic or Latino,White,Male,1,2,1,31,1485000.0,67.5,1,2,1465.0,<20%,35-44
4671,Not Hispanic or Latino,White,Female,1,1,1,1,265000.0,100.42,2,2,76.0,20%-<30%,25-34
4672,Not Hispanic or Latino,White,Female,1,1,1,1,3085000.0,80.0,2,2,1860.0,<20%,45-54
4673,Not Hispanic or Latino,Asian,Male,1,1,1,1,745000.0,80.0,2,2,340.0,20%-<30%,25-34
4674,Not Hispanic or Latino,White,Male,1,2,1,31,525000.0,87.31,2,2,291.0,20%-<30%,25-34
4675,Not Hispanic or Latino,Black or African American,Female,1,1,1,1,655000.0,75.14,2,2,453.0,<20%,35-44
4676,Ethnicity Not Available,White,Male,1,2,1,2,565000.0,36.81,2,2,146.0,43,>74
4677,Hispanic or Latino,White,Male,1,1,1,1,585000.0,65.0,2,2,414.0,39,55-64
4678,Not Hispanic or Latino,Asian,Male,1,2,1,31,355000.0,47.95,2,2,100.0,41,25-34
4679,Not Hispanic or Latino,White,Female,1,2,1,1,915000.0,80.0,2,2,1120.0,20%-<30%,55-64
4680,Not Hispanic or Latino,White,Female,1,2,1,1,855000.0,80.0,2,2,1120.0,20%-<30%,55-64
4681,Not Hispanic or Latino,White,Male,1,2,1,31,495000.0,89.27,2,2,255.0,<20%,25-34
4682,Not Hispanic or Latino,White,Male,1,1,1,1,1235000.0,80.0,2,2,322.0,20%-<30%,35-44
4683,Not Hispanic or Latino,White,Male,1,2,1,31,925000.0,69.85,2,2,189.0,40,45-54
4684,Not Hispanic or Latino,White,Male,1,2,1,31,945000.0,89.99,1,2,510.0,30%-<36%,25-34
4685,Not Hispanic or Latino,White,Female,1,2,1,31,205000.0,34.57,2,2,211.0,<20%,65-74
4686,Not Hispanic or Latino,White,Female,1,2,1,1,885000.0,88.01,2,2,305.0,20%-<30%,25-34
4687,Not Hispanic or Latino,White,Male,1,1,1,1,925000.0,80.0,2,2,279.0,30%-<36%,55-64
4688,Not Hispanic or Latino,White,Male,1,1,1,1,115000.0,97.0,2,2,96.0,30%-<36%,25-34
4689,Not Hispanic or Latino,White,Female,1,1,1,1,885000.0,74.68,2,2,320.0,20%-<30%,35-44
4690,Not Hispanic or Latino,Black or African American,Male,3,2,1,31,395000.0,68.12,2,2,144.0,>60%,35-44
4691,Not Hispanic or Latino,White,Male,1,1,1,1,355000.0,97.0,2,2,114.0,42,25-34
4692,Not Hispanic or Latino,White,Male,3,2,1,31,1625000.0,65.0,2,2,340.0,>60%,45-54
4693,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,595000.0,70.0,2,2,259.0,36,45-54
4694,Not Hispanic or Latino,Asian,Male,1,2,1,1,565000.0,89.99,2,2,340.0,<20%,35-44
4695,Not Hispanic or Latino,White,Male,1,1,1,1,315000.0,60.0,2,2,350.0,<20%,35-44
4696,Not Hispanic or Latino,White,Female,1,2,1,31,75000.0,7.14,1,2,51.0,30%-<36%,>74
4697,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,485000.0,53.82,2,2,68.0,>60%,55-64
4698,Not Hispanic or Latino,Asian,Male,1,2,1,1,1145000.0,80.0,2,2,310.0,20%-<30%,45-54
4699,Not Hispanic or Latino,White,Female,1,1,1,1,395000.0,80.0,2,2,94.0,39,35-44
4700,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,305000.0,33.08,2,2,162.0,>60%,55-64
4701,Not Hispanic or Latino,Asian,Female,1,2,1,1,365000.0,95.0,2,2,76.0,37,25-34
4702,Not Hispanic or Latino,White,Male,1,1,1,1,1645000.0,80.0,2,2,893.0,<20%,35-44
4703,Not Hispanic or Latino,White,Male,1,2,1,1,745000.0,70.0,1,2,688.0,20%-<30%,45-54
4704,Not Hispanic or Latino,White,Female,1,2,1,32,325000.0,18.83,2,2,87.0,46,55-64
4705,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,375000.0,50.74,2,2,114.0,47,55-64
4706,Not Hispanic or Latino,White,Male,1,2,1,31,1155000.0,45.63,2,2,222.0,37,25-34
4707,Not Hispanic or Latino,White,Male,1,2,1,31,495000.0,75.69,2,2,123.0,38,25-34
4708,Hispanic or Latino,White,Male,1,1,1,1,105000.0,102.19,2,2,52.0,20%-<30%,45-54
4709,Not Hispanic or Latino,White,Male,1,2,1,1,1805000.0,75.0,1,2,1750.0,<20%,55-64
4710,Not Hispanic or Latino,White,Male,1,1,1,1,715000.0,85.0,2,2,270.0,30%-<36%,35-44
4711,Not Hispanic or Latino,White,Male,1,1,1,1,735000.0,85.0,2,2,305.0,30%-<36%,25-34
4712,Not Hispanic or Latino,Race Not Available,Female,1,2,1,1,495000.0,80.0,2,2,305.0,<20%,25-34
4713,Not Hispanic or Latino,White,Male,1,1,1,1,235000.0,79.78,2,2,79.0,39,35-44
4714,Not Hispanic or Latino,Black or African American,Female,1,1,1,1,265000.0,97.0,2,2,92.0,30%-<36%,25-34
4715,Not Hispanic or Latino,White,Male,1,2,1,31,425000.0,54.33,2,2,255.0,30%-<36%,25-34
4716,Not Hispanic or Latino,White,Male,1,2,1,31,2805000.0,74.97,1,2,1945.0,<20%,45-54
4717,Not Hispanic or Latino,White,Female,1,2,1,31,815000.0,67.41,2,2,146.0,41,45-54
4718,Not Hispanic or Latino,White,Female,1,1,1,1,445000.0,80.0,2,2,124.0,20%-<30%,35-44
4719,Not Hispanic or Latino,White,Male,1,2,1,1,655000.0,85.0,2,2,275.0,20%-<30%,35-44
4720,Not Hispanic or Latino,Asian,Male,1,1,1,1,405000.0,85.0,2,2,235.0,<20%,35-44
4721,Not Hispanic or Latino,White,Male,1,2,1,1,505000.0,85.0,2,2,255.0,<20%,25-34
4722,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,305000.0,33.08,2,2,222.0,46,55-64
4723,Not Hispanic or Latino,White,Male,1,2,1,1,395000.0,80.0,2,2,540.0,20%-<30%,25-34
4724,Not Hispanic or Latino,Asian,Female,1,1,1,1,905000.0,70.0,2,2,150.0,39,45-54
4725,Not Hispanic or Latino,White,Male,1,2,1,31,805000.0,80.4,2,2,320.0,20%-<30%,35-44
4726,Not Hispanic or Latino,White,Female,1,2,1,31,685000.0,81.33,2,2,319.0,<20%,25-34
4727,Not Hispanic or Latino,White,Male,1,2,1,32,205000.0,32.47,2,2,82.0,30%-<36%,55-64
4728,Not Hispanic or Latino,White,Male,1,2,1,1,755000.0,40.54,2,2,228.0,20%-<30%,25-34
4729,Ethnicity Not Available,Race Not Available,Male,1,1,1,1,785000.0,80.0,2,2,4493.0,<20%,25-34
4730,Not Hispanic or Latino,Race Not Available,Male,1,2,1,31,1655000.0,75.0,1,2,1465.0,<20%,35-44
4731,Not Hispanic or Latino,White,Female,1,1,1,1,895000.0,89.9,2,2,280.0,<20%,25-34
4732,Hispanic or Latino,White,Male,1,2,1,1,1345000.0,75.0,2,2,450.0,20%-<30%,55-64
4733,Not Hispanic or Latino,White,Male,1,2,1,31,675000.0,83.89,2,2,275.0,20%-<30%,35-44
4734,Not Hispanic or Latino,Black or African American,Female,1,1,1,1,255000.0,92.48,2,2,81.0,30%-<36%,25-34
4735,Not Hispanic or Latino,White,Male,1,2,1,31,535000.0,89.99,2,2,220.0,30%-<36%,25-34
4736,Not Hispanic or Latino,White,Male,1,2,1,31,1565000.0,61.37,1,2,2113.0,<20%,55-64
4737,Not Hispanic or Latino,Asian,Female,1,1,1,1,305000.0,79.92,2,2,77.0,20%-<30%,35-44
4738,Not Hispanic or Latino,White,Female,1,1,1,1,715000.0,80.0,2,2,200.0,20%-<30%,35-44
4739,Not Hispanic or Latino,White,Male,1,2,1,1,1005000.0,89.99,2,2,431.0,20%-<30%,35-44
4740,Not Hispanic or Latino,White,Female,1,2,1,1,515000.0,85.0,2,2,256.0,<20%,25-34
4741,Not Hispanic or Latino,Black or African American,Male,1,1,1,1,405000.0,97.0,2,2,86.0,30%-<36%,25-34
4742,Not Hispanic or Latino,White,Male,1,2,1,31,665000.0,76.65,2,2,340.0,20%-<30%,35-44
4743,Not Hispanic or Latino,White,Male,1,2,1,32,385000.0,10.82,2,2,287.0,<20%,>74
4744,Not Hispanic or Latino,White,Female,1,2,1,31,165000.0,48.06,2,2,112.0,20%-<30%,25-34
4745,Not Hispanic or Latino,Black or African American,Female,1,1,1,1,485000.0,97.0,2,2,92.0,30%-<36%,25-34
4746,Ethnicity Not Available,Race Not Available,Female,3,2,1,32,615000.0,78.71,2,2,49.0,>60%,65-74
4747,Ethnicity Not Available,Race Not Available,Female,3,2,1,32,445000.0,68.77,2,2,93.0,>60%,45-54
4748,Not Hispanic or Latino,Race Not Available,Male,1,2,1,32,305000.0,72.8,2,2,152.0,49,45-54
4749,Not Hispanic or Latino,White,Male,1,2,1,32,1085000.0,70.0,2,2,1794.0,20%-<30%,55-64
4750,Not Hispanic or Latino,Black or African American,Female,1,1,1,1,165000.0,77.01,2,2,180.0,20%-<30%,45-54
4751,Not Hispanic or Latino,White,Female,1,1,1,1,125000.0,15.24,2,2,221.0,<20%,65-74
4752,Not Hispanic or Latino,White,Male,1,2,1,31,355000.0,19.65,2,2,173.0,40,65-74
4753,Not Hispanic or Latino,Black or African American,Male,1,2,1,31,285000.0,46.75,2,2,141.0,20%-<30%,35-44
4754,Not Hispanic or Latino,Black or African American,Male,3,2,1,32,315000.0,70.18,2,2,63.0,42,45-54
4755,Hispanic or Latino,White,Female,3,2,1,1,225000.0,94.55,2,2,46.0,42,25-34
4756,Not Hispanic or Latino,White,Male,1,2,1,32,895000.0,79.99,2,2,350.0,30%-<36%,45-54
4757,Not Hispanic or Latino,White,Male,1,2,1,31,865000.0,82.29,2,2,280.0,<20%,25-34
4758,Not Hispanic or Latino,White,Male,3,2,1,1,985000.0,70.0,2,2,489.0,20%-<30%,55-64
4759,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,135000.0,37.98,2,2,23.0,>60%,>74
4760,Not Hispanic or Latino,White,Female,3,2,1,31,405000.0,41.67,2,2,100.0,50%-60%,55-64
4761,Not Hispanic or Latino,White,Male,1,1,1,1,1145000.0,89.99,2,2,1292.0,<20%,45-54
4762,Not Hispanic or Latino,White,Female,1,1,1,1,1245000.0,85.0,2,2,428.0,20%-<30%,35-44
4763,Not Hispanic or Latino,White,Male,1,2,1,32,395000.0,75.0,2,2,943.0,20%-<30%,45-54
4764,Not Hispanic or Latino,White,Male,1,1,1,1,535000.0,80.0,2,2,128.0,30%-<36%,45-54
4765,Not Hispanic or Latino,White,Male,1,2,1,31,415000.0,76.64,2,2,305.0,<20%,35-44
4766,Not Hispanic or Latino,White,Male,1,2,1,31,1505000.0,59.75,1,2,754.0,40,45-54
4767,Ethnicity Not Available,White,Male,1,2,1,1,645000.0,85.0,2,2,280.0,<20%,25-34
4768,Not Hispanic or Latino,White,Male,3,2,1,31,595000.0,86.23,2,2,255.0,20%-<30%,25-34
4769,Not Hispanic or Latino,White,Male,1,1,1,1,795000.0,89.99,2,2,258.0,30%-<36%,35-44
4770,Not Hispanic or Latino,White,Male,1,1,1,1,705000.0,80.0,2,2,341.0,<20%,25-34
4771,Not Hispanic or Latino,Black or African American,Female,3,2,2,1,235000.0,109.54,2,2,48.0,>60%,25-34
4772,Hispanic or Latino,Race Not Available,Male,1,2,1,31,905000.0,47.98,2,2,569.0,38,45-54
4773,Not Hispanic or Latino,Asian,Female,1,1,1,1,765000.0,74.76,2,2,185.0,40,45-54
4774,Not Hispanic or Latino,Black or African American,Female,1,1,1,1,135000.0,75.0,2,2,136.0,30%-<36%,45-54
4775,Hispanic or Latino,Race Not Available,Female,1,2,1,31,265000.0,53.4,2,2,200.0,20%-<30%,25-34
4776,Not Hispanic or Latino,White,Female,1,2,1,1,1435000.0,85.0,2,2,370.0,38,25-34
4777,Not Hispanic or Latino,White,Male,1,2,1,31,1115000.0,80.0,2,2,,42,25-34
4778,Not Hispanic or Latino,White,Male,1,1,1,1,325000.0,88.74,2,2,199.0,39,25-34
4779,Not Hispanic or Latino,White,Female,1,2,1,31,555000.0,80.06,2,2,280.0,20%-<30%,25-34
4780,Not Hispanic or Latino,White,Male,1,1,1,1,375000.0,76.22,2,2,91.0,30%-<36%,65-74
4781,Not Hispanic or Latino,White,Female,3,2,1,32,415000.0,43.56,2,2,113.0,50%-60%,55-64
4782,Not Hispanic or Latino,White,Male,3,2,1,1,95000.0,90.0,2,2,79.0,30%-<36%,25-34
4783,Not Hispanic or Latino,White,Male,1,2,1,31,585000.0,85.0,2,2,255.0,20%-<30%,25-34
4784,Not Hispanic or Latino,White,Female,1,2,1,31,1025000.0,69.51,2,2,259.0,30%-<36%,55-64
4785,Not Hispanic or Latino,White,Female,1,2,1,31,1025000.0,83.31,2,2,515.0,30%-<36%,25-34
4786,Not Hispanic or Latino,White,Female,1,2,1,31,595000.0,50.13,2,2,340.0,<20%,35-44
4787,Not Hispanic or Latino,White,Female,3,2,1,1,165000.0,74.98,2,2,143.0,50%-60%,45-54
4788,Not Hispanic or Latino,Black or African American,Female,1,1,1,1,205000.0,96.25,2,2,75.0,30%-<36%,55-64
4789,Not Hispanic or Latino,White,Female,1,2,1,1,955000.0,84.93,2,2,425.0,<20%,25-34
4790,Not Hispanic or Latino,White,Female,3,2,1,1,825000.0,80.0,2,2,219.0,50%-60%,65-74
4791,Not Hispanic or Latino,White,Male,1,1,1,1,325000.0,97.0,2,2,96.0,20%-<30%,45-54
4792,Not Hispanic or Latino,White,Female,1,2,1,32,425000.0,47.86,2,2,181.0,20%-<30%,35-44
4793,Not Hispanic or Latino,White,Male,1,2,1,1,1505000.0,66.67,2,2,773.0,20%-<30%,55-64
4794,Not Hispanic or Latino,White,Male,1,2,1,32,465000.0,32.07,2,2,166.0,30%-<36%,45-54
4795,Not Hispanic or Latino,White,Male,1,1,1,1,1025000.0,85.0,2,2,218.0,20%-<30%,35-44
4796,Not Hispanic or Latino,Asian,Male,3,2,1,1,305000.0,50.0,2,2,100.0,42,25-34
4797,Ethnicity Not Available,Race Not Available,Female,1,2,1,31,485000.0,83.52,2,2,200.0,20%-<30%,35-44
4798,Not Hispanic or Latino,White,Female,1,1,1,1,1105000.0,59.46,2,2,382.0,40,65-74
4799,Not Hispanic or Latino,White,Male,1,2,1,1,1705000.0,89.99,2,2,740.0,36,45-54
4800,Not Hispanic or Latino,White,Female,1,2,1,31,865000.0,70.94,2,2,414.0,20%-<30%,35-44
4801,Not Hispanic or Latino,Black or African American,Female,3,2,1,1,155000.0,95.0,2,2,54.0,30%-<36%,25-34
4802,Not Hispanic or Latino,Asian,Male,1,2,1,31,955000.0,43.68,2,2,183.0,39,25-34
4803,Not Hispanic or Latino,Asian,Male,1,1,1,1,905000.0,84.91,2,2,305.0,20%-<30%,25-34
4804,Not Hispanic or Latino,White,Female,1,2,1,4,3275000.0,54.58,2,2,671.0,50%-60%,45-54
4805,Not Hispanic or Latino,White,Female,1,1,1,1,665000.0,89.99,2,2,220.0,20%-<30%,25-34
4806,Not Hispanic or Latino,Asian,Male,1,2,1,1,335000.0,73.63,2,2,78.0,30%-<36%,25-34
4807,Not Hispanic or Latino,White,Male,1,1,1,1,2095000.0,89.99,1,2,939.0,41,45-54
4808,Not Hispanic or Latino,White,Male,1,1,1,1,275000.0,85.92,2,2,166.0,<20%,35-44
4809,Not Hispanic or Latino,White,Female,1,1,1,1,155000.0,53.57,2,2,304.0,30%-<36%,65-74
4810,Not Hispanic or Latino,White,Female,1,1,1,1,265000.0,90.0,2,2,72.0,20%-<30%,25-34
4811,Not Hispanic or Latino,White,Male,1,2,1,1,205000.0,85.0,1,2,310.0,50%-60%,35-44
4812,Not Hispanic or Latino,White,Male,1,2,1,1,2365000.0,89.99,2,2,779.0,50%-60%,65-74
4813,Not Hispanic or Latino,White,Male,1,2,1,31,995000.0,60.0,2,2,736.0,42,45-54
4814,Not Hispanic or Latino,White,Female,1,1,1,1,395000.0,63.41,2,2,121.0,20%-<30%,45-54
4815,Hispanic or Latino,Race Not Available,Male,1,2,1,31,645000.0,85.0,2,2,340.0,<20%,35-44
4816,Not Hispanic or Latino,White,Female,1,2,1,31,1275000.0,72.57,2,2,450.0,20%-<30%,45-54
4817,Not Hispanic or Latino,Black or African American,Female,1,2,1,31,525000.0,87.67,2,2,305.0,30%-<36%,35-44
4818,Not Hispanic or Latino,White,Male,1,1,1,1,485000.0,85.0,2,2,310.0,50%-60%,35-44
4819,Not Hispanic or Latino,White,Male,1,2,1,31,635000.0,81.5,2,2,500.0,42,45-54
4820,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,175000.0,44.74,2,2,56.0,20%-<30%,45-54
4821,Ethnicity Not Available,Black or African American,Male,1,2,1,32,75000.0,19.83,2,2,30.0,38,65-74
4822,Not Hispanic or Latino,Black or African American,Male,1,1,1,1,715000.0,89.9,2,2,232.0,20%-<30%,25-34
4823,Not Hispanic or Latino,White,Male,1,1,1,1,505000.0,52.91,2,2,255.0,30%-<36%,45-54
4824,Not Hispanic or Latino,White,Female,1,2,1,2,285000.0,80.0,2,2,142.0,20%-<30%,55-64
4825,Not Hispanic or Latino,White,Male,3,2,1,2,305000.0,47.55,2,2,57.0,>60%,65-74
4826,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,65000.0,67.09,2,2,40.0,>60%,65-74
4827,Hispanic or Latino,Black or African American,Male,3,2,1,2,155000.0,80.54,2,2,102.0,41,65-74
4828,Not Hispanic or Latino,White,Male,1,2,1,2,55000.0,78.45,2,2,103.0,44,35-44
4829,Not Hispanic or Latino,Race Not Available,Male,1,2,1,31,505000.0,32.67,2,2,142.0,49,65-74
4830,Hispanic or Latino,Black or African American,Female,3,2,1,2,55000.0,39.6,2,2,49.0,>60%,65-74
4831,Not Hispanic or Latino,White,Male,3,2,1,2,55000.0,93.24,2,2,131.0,42,45-54
4832,Ethnicity Not Available,Race Not Available,Male,1,2,1,2,255000.0,36.49,2,2,165.0,20%-<30%,65-74
4833,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,145000.0,45.87,2,2,93.0,48,65-74
4834,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,25000.0,,2,2,,,55-64
4835,Ethnicity Not Available,Race Not Available,Female,1,2,1,2,245000.0,68.37,2,2,240.0,20%-<30%,45-54
4836,Ethnicity Not Available,Race Not Available,Male,3,2,1,2,255000.0,56.82,2,2,156.0,>60%,35-44
4837,Not Hispanic or Latino,White,Female,3,2,1,2,45000.0,79.04,2,2,91.0,42,35-44
4838,Not Hispanic or Latino,Black or African American,Male,3,2,1,2,105000.0,25.38,2,2,65.0,48,45-54
4839,Not Hispanic or Latino,White,Male,3,2,1,2,205000.0,44.74,2,2,17.0,>60%,65-74
4840,Ethnicity Not Available,Race Not Available,Male,3,2,1,2,505000.0,,2,2,,,65-74
4841,Not Hispanic or Latino,Black or African American,Female,1,2,1,2,155000.0,34.48,2,2,73.0,42,65-74
4842,Hispanic or Latino,White,Male,3,2,1,2,1005000.0,66.25,2,2,1500.0,<20%,55-64
4843,Not Hispanic or Latino,Black or African American,Male,3,2,1,4,35000.0,,2,2,,,35-44
4844,Ethnicity Not Available,Race Not Available,Female,3,2,1,2,505000.0,85.86,2,2,162.0,>60%,65-74
4845,Ethnicity Not Available,Race Not Available,Male,3,2,1,2,505000.0,,2,2,,,55-64
4846,Ethnicity Not Available,Race Not Available,Female,3,2,1,2,125000.0,78.43,2,2,40.0,47,55-64
4847,Not Hispanic or Latino,White,Female,1,2,1,2,135000.0,79.94,2,2,143.0,49,45-54
4848,Not Hispanic or Latino,White,Male,3,2,1,1,705000.0,69.44,1,2,168.0,36,55-64
4849,Not Hispanic or Latino,White,Female,1,2,1,31,255000.0,36.09,2,2,174.0,30%-<36%,55-64
4850,Not Hispanic or Latino,White,Female,1,2,1,4,545000.0,80.0,1,2,376.0,36,55-64
4851,Not Hispanic or Latino,White,Male,3,2,1,2,45000.0,76.92,2,2,127.0,30%-<36%,35-44
4852,Not Hispanic or Latino,Black or African American,Male,3,2,1,2,105000.0,,2,2,,,>74
4853,Not Hispanic or Latino,White,Female,3,2,1,2,105000.0,10.7,2,2,48.0,30%-<36%,>74
4854,Not Hispanic or Latino,White,Male,1,2,1,2,125000.0,44.22,2,2,117.0,30%-<36%,65-74
4855,Hispanic or Latino,Black or African American,Male,3,2,1,2,245000.0,35.0,2,2,188.0,20%-<30%,65-74
4856,Not Hispanic or Latino,Asian,Female,3,2,1,2,205000.0,47.61,2,2,120.0,50%-60%,45-54
4857,Ethnicity Not Available,Race Not Available,Female,1,2,1,31,255000.0,25.64,2,2,214.0,44,55-64
4858,Not Hispanic or Latino,White,Female,3,2,1,31,1005000.0,55.45,2,2,300.0,50%-60%,65-74
4859,Not Hispanic or Latino,Black or African American,Female,3,2,1,31,35000.0,,2,2,,,45-54
4860,Not Hispanic or Latino,Black or African American,Female,3,2,1,4,55000.0,,2,2,,,>74
4861,Not Hispanic or Latino,White,Male,1,2,1,31,325000.0,79.99,2,2,170.0,47,35-44
4862,Not Hispanic or Latino,Black or African American,Male,3,2,1,2,205000.0,,2,2,,,65-74
4863,Not Hispanic or Latino,White,Male,1,2,1,31,105000.0,29.67,2,2,898.0,20%-<30%,65-74
4864,Ethnicity Not Available,Race Not Available,Male,3,2,1,2,255000.0,121.63,2,2,134.0,50%-60%,55-64
4865,Ethnicity Not Available,Race Not Available,Female,3,2,1,31,105000.0,17.51,2,2,58.0,50%-60%,>74
4866,Not Hispanic or Latino,Black or African American,Male,3,2,1,2,45000.0,,2,2,,,35-44
4867,Hispanic or Latino,Asian,Female,1,2,1,2,95000.0,79.99,2,2,131.0,20%-<30%,35-44
4868,Not Hispanic or Latino,White,Male,1,2,1,2,135000.0,79.9,1,2,300.0,39,45-54
4869,Not Hispanic or Latino,White,Male,3,2,1,2,505000.0,93.63,2,2,75.0,>60%,65-74
4870,Hispanic or Latino,White,Male,3,2,1,2,65000.0,,2,2,,,45-54
4871,Not Hispanic or Latino,White,Female,3,2,1,2,95000.0,,2,2,,,55-64
4872,Not Hispanic or Latino,Black or African American,Male,3,2,1,2,405000.0,65.89,2,2,37.0,>60%,45-54
4873,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,55000.0,15.89,2,2,53.0,48,35-44
4874,Not Hispanic or Latino,Black or African American,Female,1,2,1,31,85000.0,24.11,2,2,106.0,39,65-74
4875,Not Hispanic or Latino,White,Male,1,2,1,31,315000.0,79.99,2,2,148.0,45,55-64
4876,Not Hispanic or Latino,White,Female,3,2,1,2,255000.0,44.7,2,2,145.0,>60%,55-64
4877,Not Hispanic or Latino,Black or African American,Male,1,2,1,2,35000.0,39.05,2,2,124.0,20%-<30%,55-64
4878,Not Hispanic or Latino,White,Male,3,2,1,31,505000.0,58.18,2,2,320.0,30%-<36%,65-74
4879,Not Hispanic or Latino,Black or African American,Male,3,2,1,1,105000.0,24.83,2,2,38.0,>60%,55-64
4880,Hispanic or Latino,White,Female,3,2,1,2,645000.0,,2,2,,,>74
4881,Not Hispanic or Latino,White,Male,3,2,1,2,195000.0,79.72,2,2,150.0,50%-60%,55-64
4882,Not Hispanic or Latino,White,Female,1,2,1,31,35000.0,65.54,2,2,118.0,20%-<30%,45-54
4883,Not Hispanic or Latino,Asian,Male,3,2,1,2,955000.0,,2,2,,,55-64
4884,Not Hispanic or Latino,Black or African American,Male,3,2,1,1,145000.0,,2,2,,,55-64
4885,Not Hispanic or Latino,White,Female,1,2,1,2,105000.0,28.24,2,2,243.0,<20%,55-64
4886,Ethnicity Not Available,Race Not Available,Male,1,2,1,2,505000.0,78.67,2,2,357.0,36,45-54
4887,Not Hispanic or Latino,White,Male,3,2,1,2,105000.0,84.22,2,2,127.0,20%-<30%,25-34
4888,Not Hispanic or Latino,White,Female,3,2,1,31,205000.0,77.77,1,2,92.0,50%-60%,45-54
4889,Hispanic or Latino,White,Male,3,2,1,2,155000.0,223.93,2,2,150.0,30%-<36%,55-64
4890,Ethnicity Not Available,Race Not Available,Male,3,2,1,31,255000.0,20.83,2,2,39.0,>60%,65-74
4891,Ethnicity Not Available,Race Not Available,Male,3,2,1,31,465000.0,52.1,2,2,105.0,>60%,45-54
4892,Not Hispanic or Latino,White,Male,1,2,1,2,155000.0,56.13,2,2,132.0,20%-<30%,45-54
4893,Ethnicity Not Available,Race Not Available,Female,3,2,1,2,105000.0,79.07,2,2,30.0,>60%,45-54
4894,Not Hispanic or Latino,Black or African American,Male,3,2,1,31,345000.0,,2,2,,,>74
4895,Not Hispanic or Latino,White,Female,1,2,1,31,175000.0,79.99,2,2,89.0,47,45-54
4896,Not Hispanic or Latino,White,Male,1,2,1,2,485000.0,69.74,2,2,215.0,49,65-74
4897,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Female,1,2,1,31,155000.0,67.01,2,2,149.0,30%-<36%,45-54
4898,Not Hispanic or Latino,Black or African American,Female,1,2,1,2,95000.0,76.58,2,2,81.0,48,65-74
4899,Not Hispanic or Latino,Black or African American,Male,3,2,1,4,65000.0,,2,2,,,45-54
4900,Not Hispanic or Latino,Black or African American,Male,3,2,1,31,115000.0,,2,2,,,55-64
4901,Not Hispanic or Latino,Black or African American,Male,3,2,1,2,115000.0,100.76,2,2,54.0,>60%,45-54
4902,Not Hispanic or Latino,Black or African American,Female,1,2,1,31,355000.0,68.62,2,2,86.0,41,>74
4903,Not Hispanic or Latino,White,Female,1,2,1,2,155000.0,38.34,2,2,144.0,42,>74
